,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,SiO2,TiO,Ti3O5,Ti2O3,Ti2O,Ti3O,TiO2,Ti2O3,Ti6O,Ti3O5,Ti3O5,Zr3O,Zr2O,ZrO2,Zr3O,ZrO2,ZrO2,ZrO2,ZrO2,Zr3O,ZrO2
SiO2,0.0,1.3815193733202937,1.45510651727829,1.389719815587496,1.377821563541734,1.262671018861625,1.0417933357225972,1.3880615466636985,1.0388501800963168,1.3527744262979284,1.9571042616851768,1.47752676706068,1.4667071169356598,1.6761972597396428,1.6416092007265755,1.6391669472423667,1.7330377459350097,1.6434873675128796,1.3325783663379538,1.4256747946392672,1.5756304234367493,2.0191760340114984,1.421120541941952,1.5635899339930015,2.179378724374072,1.7908311401079267,1.4783559554511831,1.4660844021863204,1.5658165935087933,1.4675013223564606
SiO2,1.3815193733202937,0.0,1.4186872230951693,0.8527520874944248,0.7768234186094787,1.1185883386856716,1.5160679052790857,1.3694800227814319,1.5182266703555882,0.84869643899977,2.35969880521339,1.6211584110858823,1.7125206364827559,2.0074196757611458,1.9305296602989277,1.9784241182687452,1.8790577403490831,1.9173070119916626,1.606642665912433,1.5803721441082652,1.9086822052394188,2.393082528453778,1.6836651268961105,1.8931107598636843,2.710857744856775,2.1682561123881436,1.6936081836469103,1.7239970706897694,1.8952863413268384,1.7719919329128917
SiO2,1.45510651727829,1.4186872230951693,0.0,1.240735427586716,1.4108546925108019,1.3626403323692313,1.394603672740057,1.1260817538018972,1.39312741649435,1.4515646342303863,1.6140963561590727,1.399187526142563,1.5773654580879692,1.483445744343901,1.4283780323701125,1.4672489104266158,1.4963567491805083,1.3834043483824106,1.4526319129342424,1.404547233990582,1.3727185345509378,1.6604434047849512,1.5523393126698992,1.364793247481418,1.9439695762780014,1.6568795102606952,1.469107441871922,1.551131435221541,1.3684142742947876,1.3619633440503691
SiO2,1.389719815587496,0.8527520874944248,1.240735427586716,0.0,0.7499552955802828,1.1664655057010436,1.5016169743647045,1.142550232628105,1.5043392497037342,0.7623439679733968,2.009258004669382,1.3727910320403667,1.5284365330219913,1.8129349246777087,1.7491930220118614,1.8019833449456235,1.7349423931755628,1.7499627847067598,1.539387206801802,1.4468118397573355,1.7388683651941763,2.136169642968975,1.5667990933487679,1.7265220353404902,2.40613118896925,1.9432506792708077,1.5807934832034234,1.596048561427473,1.7296108801987429,1.5914593841989702
SiO2,1.377821563541734,0.7768234186094787,1.4108546925108019,0.7499552955802828,0.0,1.1619625854833433,1.5604196443936278,1.3298369677264374,1.562617732021838,0.6810666467255051,2.3158956034042952,1.572224415683439,1.6450872946868578,2.0252906608295236,1.938569584117394,2.015128458690097,1.9041425010834807,1.9459360386898754,1.5526604903131396,1.589042876277893,1.9182461482424003,2.4177260730890255,1.7568452455520838,1.8993477553766112,2.767758134012039,2.2417508618663327,1.6745448401754321,1.7995931153236666,1.904784123950447,1.7709883044820942
SiO2,1.262671018861625,1.1185883386856716,1.3626403323692313,1.1664655057010436,1.1619625854833433,0.0,1.4530944158604693,1.097686555915824,1.4508621251360414,1.0543478428427915,2.208439628660575,1.466917561913739,1.5266238949104838,1.879465097184042,1.7544802375156345,1.7768146740706805,1.7391266055417172,1.7537321991383008,1.5356027088393225,1.5912047177126776,1.7966745352686462,2.2193650589626155,1.6515878543310716,1.78588211647661,2.5044456584531973,2.0752717664013702,1.518194579074555,1.7035243847339876,1.787415553334124,1.6842795956097545
SiO2,1.0417933357225972,1.5160679052790857,1.394603672740057,1.5016169743647045,1.5604196443936278,1.4530944158604693,0.0,1.3651763873870673,0.04085790899385095,1.6317825540860924,1.6969570566144871,1.5174999976460648,1.4772635224509925,1.4702734618109128,1.467991466105498,1.4681186008479545,1.5234669343587184,1.4658164720100109,1.4202456752647896,1.4649705166760394,1.3642977428736003,1.6476652762827941,1.304996337466215,1.3548759849001395,1.7817091545983457,1.512219300185637,1.4839840645259343,1.3061236175388384,1.3544935483329272,1.3435693943737366
SiO2,1.3880615466636985,1.3694800227814319,1.1260817538018972,1.142550232628105,1.3298369677264374,1.097686555915824,1.3651763873870673,0.0,1.3651314501509937,1.2976003027935894,1.8421228638758131,1.4047783494083812,1.3531609330693635,1.5702030183236582,1.500841878710075,1.5648681694622808,1.501556499442252,1.5139639340607989,1.512899447316729,1.4312205576891044,1.4639022547925504,1.7714123888047812,1.4858013192253117,1.4546694548821137,2.0534512237215257,1.7119321911061698,1.4315298018974965,1.511209906362036,1.4563547742896352,1.5232768218184165
SiO2,1.0388501800963168,1.5182266703555882,1.39312741649435,1.5043392497037342,1.562617732021838,1.4508621251360414,0.04085790899385095,1.3651314501509937,0.0,1.633223494893197,1.693283796064568,1.5166891973268335,1.4818021055058355,1.4705756529781187,1.4679638196733036,1.468093548825182,1.5261452188520301,1.4642921803160465,1.421099704702481,1.4671287990221376,1.363579128765169,1.6522292286999343,1.305666658151539,1.354122554351894,1.7837688437471564,1.5141317823050553,1.4851832727602252,1.309240014865015,1.3538050799831463,1.342333897223271
SiO2,1.3527744262979284,0.84869643899977,1.4515646342303863,0.7623439679733968,0.6810666467255051,1.0543478428427915,1.6317825540860924,1.2976003027935894,1.633223494893197,0.0,2.3412431156837052,1.5282932589308158,1.6105124164567737,2.0350866421115383,1.9507032056426474,2.0517979742117807,1.9653867597918333,1.9405701917828295,1.6071563715785613,1.608915106228478,1.9170248164607124,2.464144370989178,1.7246798848286233,1.9004736047887485,2.7908597890819418,2.2612214146391536,1.6898193498206355,1.7739770452221266,1.905634091156397,1.7935647067038945
