,Si6 O12,Si24 O48,Si2 O4,Si4 O8,Si24 O48,Si8 O16,Si3 O6,Si4 O8,Si3 O6,Si24 O48,Ti3 O3,Ti6 O10,Ti8 O12,Ti2 O1,Ti12 O4,Ti2 O4,Ti4 O6,Ti12 O2,Ti6 O10,Ti6 O10,Zr6 O2,Zr4 O2,Zr8 O16,Zr6 O2,Zr1 O2,Zr2 O4,Zr4 O8,Zr4 O8,Zr12 O4,Zr4 O8
Si6 O12,9.923179740662274e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Si24 O48,,2.8953991353929938e-15,,,0.4511544758411221,,,,,0.6420745093376805,,,,,,,,,,,,,,,,,,,,
Si2 O4,,,2.511222337189118e-16,,,,,,,,,,,,,0.2442595255314547,,,,,,0.3321088487700596,,,,0.3549760145493373,,,,
Si4 O8,,,,1.7651290080546835e-16,,,,0.3915654660288144,,,,,,,,,,,,,,,,,,,0.3809455788764489,0.3996970100432013,,0.39437924199798247
Si24 O48,,0.4511544758411221,,,6.277494237341005e-16,,,,,0.6034871518328776,,,,,,,,,,,,,,,,,,,,
Si8 O16,,,,,,1.9813578694483234e-15,,,,,,,,,,,,,,,,,0.39878880839985825,,,,,,,
Si3 O6,,,,,,,2.0375663325972223e-16,,0.0015778828341120861,,,,,,,,,,,,,,,,,,,,,
Si4 O8,,,,0.3915654660288144,,,,1.081499645889482e-06,,,,,,,,,,,,,,,,,,,0.4273700454797703,0.4273945757923607,,0.43789614907356694
Si3 O6,,,,,,,0.0015778828341120861,,1.8775211440061602e-16,,,,,,,,,,,,,,,,,,,,,
Si24 O48,,0.6420745093376805,,,0.6034871518328776,,,,,4.53480730810154e-16,,,,,,,,,,,,,,,,,,,,
Ti3 O3,,,,,,,,,,,2.2715026296997597e-16,,,,,,,,,,,,,,,,,,,
Ti6 O10,,,,,,,,,,,,2.185481887710919e-15,,,,,,,0.37190967990229656,0.3139865259496739,,,,,,,,,,
Ti8 O12,,,,,,,,,,,,,2.90206246276358e-16,,,,,,,,,,,,,,,,,
Ti2 O1,,,,,,,,,,,,,,1.204700707098501e-16,,,,,,,,,,,0.06789585300774856,,,,,
Ti12 O4,,,,,,,,,,,,,,,4.19508117567471e-16,,,,,,,,,,,,,,0.4237006751132268,
Ti2 O4,,,0.2442595255314547,,,,,,,,,,,,,2.7749544008088096e-06,,,,,,0.4127698163673273,,,,0.2046971009879151,,,,
Ti4 O6,,,,,,,,,,,,,,,,,3.56866197102004e-16,,,,,,,,,,,,,
Ti12 O2,,,,,,,,,,,,,,,,,,4.1565938961093863e-16,,,,,,,,,,,,
Ti6 O10,,,,,,,,,,,,0.37190967990229656,,,,,,,4.601094290917476e-16,0.44351179835055426,,,,,,,,,,
Ti6 O10,,,,,,,,,,,,0.3139865259496739,,,,,,,0.44351179835055426,5.510501381593188e-07,,,,,,,,,,
Zr6 O2,,,,,,,,,,,,,,,,,,,,,5.661525302745494e-06,,,0.21870780544025417,,,,,,
Zr4 O2,,,0.3321088487700596,,,,,,,,,,,,,0.4127698163673273,,,,,,1.3511810982929073e-16,,,,0.3053033162812518,,,,
Zr8 O16,,,,,,0.39878880839985825,,,,,,,,,,,,,,,,,5.796522757023677e-17,,,,,,,
Zr6 O2,,,,,,,,,,,,,,,,,,,,,0.21870780544025417,,,4.4130460558228234e-16,,,,,,
Zr1 O2,,,,,,,,,,,,,,0.06789585300774856,,,,,,,,,,,3.308269995297577e-16,,,,,
Zr2 O4,,,0.3549760145493373,,,,,,,,,,,,,0.2046971009879151,,,,,,0.3053033162812518,,,,3.7045970731180536e-16,,,,
Zr4 O8,,,,0.3809455788764489,,,,0.4273700454797703,,,,,,,,,,,,,,,,,,,1.0087861320328276e-15,0.21652837084799073,,0.34009647853289476
Zr4 O8,,,,0.3996970100432013,,,,0.4273945757923607,,,,,,,,,,,,,,,,,,,0.21652837084799073,9.138520783120065e-16,,0.36233934913241556
Zr12 O4,,,,,,,,,,,,,,,0.4237006751132268,,,,,,,,,,,,,,1.058372596744022e-15,
Zr4 O8,,,,0.39437924199798247,,,,0.43789614907356694,,,,,,,,,,,,,,,,,,,0.34009647853289476,0.36233934913241556,,1.849159961653153e-15
